Roll,race/ethnicity,parental level of education,lunch,test preparation course,math,reading score,writing score
1,group B,bachelor's degree,standard,none,72,72,74
2,group C,some college,standard,completed,69,90,88
3,group B,master's degree,standard,none,90,95,93
4,group A,associate's degree,free/reduced,none,47,57,44
5,group C,some college,standard,none,76,78,75
6,group B,associate's degree,standard,none,71,83,78
7,group B,some college,standard,completed,88,95,92
8,group B,some college,free/reduced,none,40,43,39
9,group D,high school,free/reduced,completed,64,64,67
10,group B,high school,free/reduced,none,38,60,50
11,group C,associate's degree,standard,none,58,54,52
12,group D,associate's degree,standard,none,40,52,43
13,group B,high school,standard,none,65,81,73
14,group A,some college,standard,completed,78,72,70
15,group A,master's degree,standard,none,50,53,58
16,group C,some high school,standard,none,69,75,78
17,group C,high school,standard,none,88,89,86
18,group B,some high school,free/reduced,none,18,32,28
19,group C,master's degree,free/reduced,completed,46,42,46
20,group C,associate's degree,free/reduced,none,54,58,61
21,group D,high school,standard,none,66,69,63
22,group B,some college,free/reduced,completed,65,75,70
23,group D,some college,standard,none,44,54,53
24,group C,some high school,standard,none,69,73,73
25,group D,bachelor's degree,free/reduced,completed,74,71,80
26,group A,master's degree,free/reduced,none,73,74,72
27,group B,some college,standard,none,69,54,55
28,group C,bachelor's degree,standard,none,67,69,75
29,group C,high school,standard,none,70,70,65
30,group D,master's degree,standard,none,62,70,75
31,group D,some college,standard,none,69,74,74
32,group B,some college,standard,none,63,65,61
33,group E,master's degree,free/reduced,none,56,72,65
34,group D,some college,standard,none,40,42,38
35,group E,some college,standard,none,97,87,82
36,group E,associate's degree,standard,completed,81,81,79
37,group D,associate's degree,standard,none,74,81,83
38,group D,some high school,free/reduced,none,50,64,59
39,group D,associate's degree,free/reduced,completed,75,90,88
40,group B,associate's degree,free/reduced,none,57,56,57
41,group C,associate's degree,free/reduced,none,55,61,54
42,group C,associate's degree,standard,none,58,73,68
43,group B,associate's degree,standard,none,53,58,65
44,group B,some college,free/reduced,completed,59,65,66
45,group E,associate's degree,free/reduced,none,50,56,54
46,group B,associate's degree,standard,none,65,54,57
47,group A,associate's degree,standard,completed,55,65,62
48,group C,high school,standard,none,66,71,76
49,group D,associate's degree,free/reduced,completed,57,74,76
50,group C,high school,standard,completed,82,84,82
51,group E,some college,standard,none,53,55,48
52,group E,associate's degree,free/reduced,completed,77,69,68
53,group C,some college,standard,none,53,44,42
54,group D,high school,standard,none,88,78,75
55,group C,some high school,free/reduced,completed,71,84,87
56,group C,high school,free/reduced,none,33,41,43
57,group E,associate's degree,standard,completed,82,85,86
58,group D,associate's degree,standard,none,52,55,49
59,group D,some college,standard,completed,58,59,58
60,group C,some high school,free/reduced,none,0,17,10
61,group E,bachelor's degree,free/reduced,completed,79,74,72
62,group A,some high school,free/reduced,none,39,39,34
63,group A,associate's degree,free/reduced,none,62,61,55
64,group C,associate's degree,standard,none,69,80,71
65,group D,some high school,standard,none,59,58,59
66,group B,some high school,standard,none,67,64,61
67,group D,some high school,free/reduced,none,45,37,37
68,group C,some college,standard,none,60,72,74
69,group B,associate's degree,free/reduced,none,61,58,56
70,group C,associate's degree,standard,none,39,64,57
71,group D,some college,free/reduced,completed,58,63,73
72,group D,some college,standard,completed,63,55,63
73,group A,associate's degree,free/reduced,none,41,51,48
74,group C,some high school,free/reduced,none,61,57,56
75,group C,some high school,standard,none,49,49,41
76,group B,associate's degree,free/reduced,none,44,41,38
77,group E,some high school,standard,none,30,26,22
78,group A,bachelor's degree,standard,completed,80,78,81
79,group D,some high school,standard,completed,61,74,72
80,group E,master's degree,standard,none,62,68,68
81,group B,associate's degree,standard,none,47,49,50
82,group B,high school,free/reduced,none,49,45,45
83,group A,some college,free/reduced,completed,50,47,54
84,group E,associate's degree,standard,none,72,64,63
85,group D,high school,free/reduced,none,42,39,34
86,group C,some college,standard,none,73,80,82
87,group C,some college,free/reduced,none,76,83,88
88,group D,associate's degree,standard,none,71,71,74
89,group A,some college,standard,none,58,70,67
90,group D,some high school,standard,none,73,86,82
91,group C,bachelor's degree,standard,none,65,72,74
92,group C,high school,free/reduced,none,27,34,36
93,group C,high school,standard,none,71,79,71
94,group C,associate's degree,free/reduced,completed,43,45,50
95,group B,some college,standard,none,79,86,92
96,group C,associate's degree,free/reduced,completed,78,81,82
97,group B,some high school,standard,completed,65,66,62
98,group E,some college,standard,completed,63,72,70
99,group D,some college,free/reduced,none,58,67,62
100,group D,bachelor's degree,standard,none,65,67,62
101,group B,some college,standard,none,79,67,67
102,group D,bachelor's degree,standard,completed,68,74,74
103,group D,associate's degree,standard,none,85,91,89
104,group B,high school,standard,completed,60,44,47
105,group C,some college,standard,completed,98,86,90
106,group C,some college,standard,none,58,67,72
107,group D,master's degree,standard,none,87,100,100
108,group E,associate's degree,standard,completed,66,63,64
109,group B,associate's degree,free/reduced,none,52,76,70
110,group B,some high school,standard,none,70,64,72
111,group D,associate's degree,free/reduced,completed,77,89,98
112,group C,high school,standard,none,62,55,49
113,group A,associate's degree,standard,none,54,53,47
114,group D,some college,standard,none,51,58,54
115,group E,bachelor's degree,standard,completed,99,100,100
116,group C,high school,standard,none,84,77,74
117,group B,bachelor's degree,free/reduced,none,75,85,82
118,group D,bachelor's degree,standard,none,78,82,79
119,group D,some high school,standard,none,51,63,61
120,group C,some college,standard,none,55,69,65
121,group C,bachelor's degree,standard,completed,79,92,89
122,group B,associate's degree,standard,completed,91,89,92
123,group C,some college,standard,completed,88,93,93
124,group D,high school,free/reduced,none,63,57,56
125,group E,some college,standard,none,83,80,73
126,group B,high school,standard,none,87,95,86
127,group B,some high school,standard,none,72,68,67
128,group D,some college,standard,completed,65,77,74
129,group D,master's degree,standard,none,82,82,74
130,group A,bachelor's degree,standard,none,51,49,51
131,group D,master's degree,standard,none,89,84,82
132,group C,some high school,free/reduced,completed,53,37,40
133,group E,some college,free/reduced,completed,87,74,70
134,group C,some college,standard,completed,75,81,84
135,group D,bachelor's degree,free/reduced,completed,74,79,75
136,group C,bachelor's degree,standard,none,58,55,48
137,group B,some high school,standard,completed,51,54,41
138,group E,high school,standard,none,70,55,56
139,group C,associate's degree,standard,none,59,66,67
140,group D,some college,standard,completed,71,61,69
141,group D,some high school,standard,none,76,72,71
142,group C,some college,free/reduced,none,59,62,64
143,group E,some college,free/reduced,completed,42,55,54
144,group A,high school,standard,none,57,43,47
145,group D,some college,standard,none,88,73,78
146,group C,some college,free/reduced,none,22,39,33
147,group B,some high school,standard,none,88,84,75
148,group C,associate's degree,free/reduced,none,73,68,66
149,group D,bachelor's degree,standard,completed,68,75,81
150,group E,associate's degree,free/reduced,completed,100,100,93
151,group A,some high school,standard,completed,62,67,69
152,group A,bachelor's degree,standard,none,77,67,68
153,group B,associate's degree,standard,completed,59,70,66
154,group D,bachelor's degree,standard,none,54,49,47
155,group D,some high school,standard,none,62,67,61
156,group C,some college,standard,completed,70,89,88
157,group E,high school,free/reduced,completed,66,74,78
158,group B,some college,free/reduced,none,60,60,60
159,group B,associate's degree,standard,completed,61,86,87
160,group D,associate's degree,free/reduced,none,66,62,64
161,group B,associate's degree,free/reduced,completed,82,78,74
162,group E,some college,free/reduced,completed,75,88,85
163,group B,master's degree,free/reduced,none,49,53,52
164,group C,high school,standard,none,52,53,49
165,group E,master's degree,standard,none,81,92,91
166,group C,bachelor's degree,standard,completed,96,100,100
167,group C,high school,free/reduced,completed,53,51,51
168,group B,master's degree,free/reduced,completed,58,76,78
169,group B,high school,standard,completed,68,83,78
170,group C,some college,free/reduced,completed,67,75,70
171,group A,high school,standard,completed,72,73,74
172,group E,some high school,standard,none,94,88,78
173,group D,some college,standard,none,79,86,81
174,group C,associate's degree,standard,none,63,67,70
175,group C,bachelor's degree,free/reduced,completed,43,51,54
176,group C,master's degree,standard,completed,81,91,87
177,group B,high school,free/reduced,completed,46,54,58
178,group C,associate's degree,standard,completed,71,77,77
179,group B,master's degree,free/reduced,completed,52,70,62
180,group D,some high school,standard,completed,97,100,100
181,group C,master's degree,free/reduced,completed,62,68,75
182,group C,some college,free/reduced,none,46,64,66
183,group E,high school,standard,none,50,50,47
184,group D,associate's degree,standard,none,65,69,70
185,group C,some high school,free/reduced,completed,45,52,49
186,group C,associate's degree,free/reduced,completed,65,67,65
187,group E,high school,standard,none,80,76,65
188,group D,some high school,standard,completed,62,66,68
189,group B,some high school,free/reduced,none,48,52,45
190,group C,bachelor's degree,standard,none,77,88,87
191,group E,associate's degree,standard,none,66,65,69
192,group D,some college,standard,completed,76,83,79
193,group B,some high school,standard,none,62,64,66
194,group D,some college,standard,completed,77,62,62
195,group C,master's degree,standard,completed,69,84,85
196,group D,associate's degree,standard,none,61,55,52
197,group C,some high school,free/reduced,completed,59,69,65
198,group E,high school,free/reduced,none,55,56,51
199,group B,some college,free/reduced,none,45,53,55
200,group B,bachelor's degree,free/reduced,none,78,79,76
201,group C,associate's degree,standard,completed,67,84,86
202,group D,some college,free/reduced,none,65,81,77
203,group C,associate's degree,standard,none,69,77,69
204,group B,associate's degree,standard,none,57,69,68
205,group C,some college,standard,none,59,41,42
206,group D,some high school,standard,completed,74,71,78
207,group E,bachelor's degree,standard,none,82,62,62
208,group E,high school,standard,completed,81,80,76
209,group B,some college,free/reduced,none,74,81,76
210,group B,some college,free/reduced,none,58,61,66
211,group D,some high school,free/reduced,completed,80,79,79
212,group C,some college,free/reduced,none,35,28,27
213,group C,high school,free/reduced,none,42,62,60
214,group C,associate's degree,free/reduced,completed,60,51,56
215,group E,high school,standard,completed,87,91,81
216,group B,some high school,standard,completed,84,83,75
217,group E,associate's degree,free/reduced,completed,83,86,88
218,group C,high school,free/reduced,none,34,42,39
219,group B,high school,free/reduced,none,66,77,70
220,group B,some high school,standard,completed,61,56,56
221,group D,high school,standard,completed,56,68,74
222,group B,associate's degree,standard,none,87,85,73
223,group C,some high school,free/reduced,none,55,65,62
224,group D,some high school,standard,none,86,80,75
225,group B,associate's degree,standard,completed,52,66,73
226,group E,master's degree,free/reduced,none,45,56,54
227,group C,some college,standard,none,72,72,71
228,group D,high school,standard,none,57,50,54
229,group A,some high school,free/reduced,none,68,72,64
230,group C,some college,standard,completed,88,95,94
231,group D,some college,standard,none,76,64,66
232,group C,associate's degree,standard,none,46,43,42
233,group B,bachelor's degree,standard,none,67,86,83
234,group E,some high school,standard,none,92,87,78
235,group C,bachelor's degree,standard,completed,83,82,84
236,group D,associate's degree,standard,none,80,75,77
237,group D,bachelor's degree,free/reduced,none,63,66,67
238,group D,some high school,standard,completed,64,60,74
239,group B,some college,standard,none,54,52,51
240,group C,associate's degree,standard,none,84,80,80
241,group D,high school,free/reduced,completed,73,68,66
242,group E,bachelor's degree,standard,none,80,83,83
243,group D,high school,standard,none,56,52,55
244,group E,some college,standard,none,59,51,43
245,group D,some high school,standard,none,75,74,69
246,group C,associate's degree,standard,none,85,76,71
247,group E,associate's degree,standard,none,89,76,74
248,group B,high school,standard,completed,58,70,68
249,group B,high school,standard,none,65,64,62
250,group C,high school,standard,none,68,60,53
251,group A,some high school,standard,completed,47,49,49
252,group D,some college,free/reduced,none,71,83,83
253,group B,some high school,standard,completed,60,70,70
254,group D,master's degree,standard,none,80,80,72
255,group D,high school,standard,none,54,52,52
256,group E,some college,standard,none,62,73,70
257,group C,associate's degree,free/reduced,none,64,73,68
258,group C,associate's degree,standard,completed,78,77,77
259,group B,some college,standard,none,70,75,78
260,group C,master's degree,free/reduced,completed,65,81,81
261,group C,some high school,free/reduced,completed,64,79,77
262,group C,some college,standard,completed,79,79,78
263,group C,some high school,free/reduced,none,44,50,51
264,group E,high school,standard,none,99,93,90
265,group D,high school,standard,none,76,73,68
266,group D,some high school,free/reduced,none,59,42,41
267,group C,bachelor's degree,standard,none,63,75,81
268,group D,high school,standard,none,69,72,77
269,group D,associate's degree,standard,completed,88,92,95
270,group E,some college,free/reduced,none,71,76,70
271,group C,bachelor's degree,standard,none,69,63,61
272,group C,some college,standard,none,58,49,42
273,group D,associate's degree,free/reduced,none,47,53,58
274,group D,some college,standard,none,65,70,71
275,group B,some college,standard,completed,88,85,76
276,group C,bachelor's degree,standard,none,83,78,73
277,group C,some high school,standard,completed,85,92,93
278,group E,high school,standard,completed,59,63,75
279,group C,some high school,free/reduced,none,65,86,80
280,group B,bachelor's degree,free/reduced,none,73,56,57
281,group D,high school,standard,none,53,52,42
282,group D,high school,standard,none,45,48,46
283,group D,bachelor's degree,free/reduced,none,73,79,84
284,group D,some college,free/reduced,completed,70,78,78
285,group B,some high school,standard,none,37,46,46
286,group B,associate's degree,standard,completed,81,82,82
287,group E,associate's degree,standard,completed,97,82,88
288,group B,some high school,standard,none,67,89,82
289,group B,bachelor's degree,free/reduced,none,88,75,76
290,group E,some high school,standard,completed,77,76,77
291,group C,associate's degree,standard,none,76,70,68
292,group D,some high school,standard,none,86,73,70
293,group C,some high school,standard,completed,63,60,57
294,group E,bachelor's degree,standard,none,65,73,75
295,group D,high school,free/reduced,completed,78,77,80
296,group B,associate's degree,free/reduced,none,67,62,60
297,group A,some high school,standard,completed,46,41,43
298,group E,associate's degree,standard,completed,71,74,68
299,group C,high school,free/reduced,completed,40,46,50
300,group D,associate's degree,free/reduced,none,90,87,75
301,group A,some college,free/reduced,completed,81,78,81
302,group D,some high school,free/reduced,none,56,54,52
303,group C,associate's degree,standard,completed,67,84,81
304,group B,associate's degree,standard,none,80,76,64
305,group C,associate's degree,standard,completed,74,75,83
306,group A,some college,standard,none,69,67,69
307,group E,some college,standard,completed,99,87,81
308,group C,some high school,standard,none,51,52,44
309,group B,associate's degree,free/reduced,none,53,71,67
310,group D,high school,free/reduced,none,49,57,52
311,group B,associate's degree,standard,none,73,76,80
312,group B,bachelor's degree,standard,none,66,60,57
313,group D,bachelor's degree,standard,completed,67,61,68
314,group C,associate's degree,free/reduced,completed,68,67,69
315,group C,bachelor's degree,standard,completed,59,64,75
316,group C,high school,standard,none,71,66,65
317,group D,master's degree,standard,completed,77,82,91
318,group C,associate's degree,standard,none,83,72,78
319,group B,bachelor's degree,standard,none,63,71,69
320,group D,associate's degree,free/reduced,none,56,65,63
321,group C,high school,free/reduced,completed,67,79,84
322,group E,high school,standard,none,75,86,79
323,group C,some college,standard,none,71,81,80
324,group C,some high school,free/reduced,none,43,53,53
325,group C,high school,free/reduced,none,41,46,43
326,group C,some college,standard,none,82,90,94
327,group C,some college,standard,none,61,61,62
328,group A,some college,free/reduced,none,28,23,19
329,group C,associate's degree,standard,completed,82,75,77
330,group B,some high school,standard,none,41,55,51
331,group C,high school,standard,none,71,60,61
332,group C,associate's degree,standard,none,47,37,35
333,group E,associate's degree,standard,completed,62,56,53
334,group B,associate's degree,standard,none,90,78,81
335,group C,bachelor's degree,standard,none,83,93,95
336,group B,some college,free/reduced,none,61,68,66
337,group D,some high school,standard,completed,76,70,69
338,group C,associate's degree,standard,none,49,51,43
339,group B,some high school,free/reduced,none,24,38,27
340,group D,some high school,free/reduced,completed,35,55,60
341,group C,high school,free/reduced,none,58,61,52
342,group C,high school,standard,none,61,73,63
343,group B,high school,standard,completed,69,76,74
344,group D,associate's degree,standard,completed,67,72,67
345,group D,some college,standard,none,79,73,67
346,group C,high school,standard,none,72,80,75
347,group B,some college,standard,none,62,61,57
348,group C,bachelor's degree,standard,completed,77,94,95
349,group D,high school,free/reduced,none,75,74,66
350,group E,associate's degree,standard,none,87,74,76
351,group B,bachelor's degree,standard,none,52,65,69
352,group E,some college,standard,none,66,57,52
353,group C,some college,standard,completed,63,78,80
354,group C,associate's degree,standard,none,46,58,57
355,group C,some college,standard,none,59,71,70
356,group B,bachelor's degree,standard,none,61,72,70
357,group A,associate's degree,standard,none,63,61,61
358,group C,some college,free/reduced,completed,42,66,69
359,group D,some college,free/reduced,none,59,62,61
360,group D,some college,standard,none,80,90,89
361,group B,high school,standard,none,58,62,59
362,group B,some high school,standard,completed,85,84,78
363,group C,some college,standard,none,52,58,58
364,group D,some high school,free/reduced,none,27,34,32
365,group C,some college,standard,none,59,60,58
366,group A,bachelor's degree,free/reduced,completed,49,58,60
367,group C,high school,standard,completed,69,58,53
368,group C,bachelor's degree,free/reduced,none,61,66,61
369,group A,some high school,free/reduced,none,44,64,58
370,group D,some high school,standard,none,73,84,85
371,group E,some college,standard,none,84,77,71
372,group C,some college,free/reduced,completed,45,73,70
373,group D,some high school,standard,none,74,74,72
374,group D,some college,standard,completed,82,97,96
375,group D,bachelor's degree,standard,none,59,70,73
376,group E,associate's degree,free/reduced,none,46,43,41
377,group D,some high school,standard,none,80,90,82
378,group D,master's degree,free/reduced,completed,85,95,100
379,group A,some high school,standard,none,71,83,77
380,group A,bachelor's degree,standard,none,66,64,62
381,group B,associate's degree,standard,none,80,86,83
382,group C,associate's degree,standard,completed,87,100,95
383,group C,master's degree,free/reduced,none,79,81,71
384,group E,some high school,free/reduced,none,38,49,45
385,group A,some high school,free/reduced,none,38,43,43
386,group E,some college,standard,none,67,76,75
387,group E,bachelor's degree,standard,none,64,73,70
388,group C,associate's degree,free/reduced,none,57,78,67
389,group D,high school,standard,none,62,64,64
390,group D,master's degree,standard,none,73,70,75
391,group E,some high school,free/reduced,completed,73,67,59
392,group D,some college,standard,none,77,68,77
393,group E,some college,standard,none,76,67,67
394,group C,associate's degree,standard,completed,57,54,56
395,group C,some high school,standard,completed,65,74,77
396,group A,high school,free/reduced,none,48,45,41
397,group B,high school,free/reduced,none,50,67,63
398,group C,associate's degree,standard,none,85,89,95
399,group B,some high school,standard,none,74,63,57
400,group D,some high school,standard,none,60,59,54
401,group C,some high school,standard,completed,59,54,67
402,group A,some college,standard,none,53,43,43
403,group A,some college,free/reduced,none,49,65,55
404,group D,high school,standard,completed,88,99,100
405,group C,high school,standard,none,54,59,62
406,group C,some high school,standard,none,63,73,68
407,group B,associate's degree,standard,completed,65,65,63
408,group B,associate's degree,standard,none,82,80,77
409,group D,high school,free/reduced,completed,52,57,56
410,group D,associate's degree,standard,completed,87,84,85
411,group D,master's degree,standard,completed,70,71,74
412,group E,some college,standard,completed,84,83,78
413,group D,associate's degree,standard,none,71,66,60
414,group B,some high school,standard,completed,63,67,67
415,group C,bachelor's degree,free/reduced,completed,51,72,79
416,group E,high school,standard,none,84,73,69
417,group C,bachelor's degree,standard,completed,71,74,68
418,group C,associate's degree,standard,none,74,73,67
419,group D,some college,standard,none,68,59,62
420,group E,high school,free/reduced,completed,57,56,54
421,group C,associate's degree,free/reduced,completed,82,93,93
422,group D,high school,standard,completed,57,58,64
423,group D,master's degree,free/reduced,completed,47,58,67
424,group A,some high school,standard,completed,59,85,80
425,group B,some college,free/reduced,none,41,39,34
426,group C,some college,free/reduced,none,62,67,62
427,group C,bachelor's degree,standard,none,86,83,86
428,group C,some high school,free/reduced,none,69,71,65
429,group A,some high school,free/reduced,none,65,59,53
430,group C,some high school,free/reduced,none,68,63,54
431,group C,associate's degree,free/reduced,none,64,66,59
432,group C,high school,standard,none,61,72,70
433,group C,high school,standard,none,61,56,55
434,group A,some high school,free/reduced,none,47,59,50
435,group C,some high school,standard,none,73,66,66
436,group C,some college,free/reduced,completed,50,48,53
437,group D,associate's degree,standard,none,75,68,64
438,group D,associate's degree,free/reduced,none,75,66,73
439,group C,high school,standard,none,70,56,51
440,group D,some high school,standard,completed,89,88,82
441,group C,some college,standard,completed,67,81,79
442,group D,high school,standard,none,78,81,80
443,group A,some high school,free/reduced,none,59,73,69
444,group B,associate's degree,standard,none,73,83,76
445,group A,some high school,free/reduced,none,79,82,73
446,group C,some high school,standard,completed,67,74,77
447,group D,some college,free/reduced,none,69,66,60
448,group C,high school,standard,completed,86,81,80
449,group B,high school,standard,none,47,46,42
450,group B,associate's degree,standard,none,81,73,72
451,group C,some college,free/reduced,completed,64,85,85
452,group E,some college,standard,none,100,92,97
453,group C,associate's degree,free/reduced,none,65,77,74
454,group C,some college,free/reduced,none,65,58,49
455,group C,associate's degree,free/reduced,none,53,61,62
456,group C,bachelor's degree,free/reduced,none,37,56,47
457,group D,bachelor's degree,standard,none,79,89,89
458,group D,associate's degree,free/reduced,none,53,54,48
459,group E,bachelor's degree,standard,none,100,100,100
460,group B,high school,standard,completed,72,65,68
461,group C,bachelor's degree,free/reduced,none,53,58,55
462,group B,some college,free/reduced,none,54,54,45
463,group E,some college,standard,none,71,70,76
464,group C,some college,free/reduced,none,77,90,91
465,group A,bachelor's degree,standard,completed,75,58,62
466,group C,some college,standard,none,84,87,91
467,group D,associate's degree,free/reduced,none,26,31,38
468,group A,high school,free/reduced,completed,72,67,65
469,group A,high school,free/reduced,completed,77,88,85
470,group C,some college,standard,none,91,74,76
471,group C,associate's degree,standard,completed,83,85,90
472,group C,high school,standard,none,63,69,74
473,group C,associate's degree,standard,completed,68,86,84
474,group D,some high school,standard,none,59,67,61
475,group B,associate's degree,standard,completed,90,90,91
476,group D,bachelor's degree,standard,completed,71,76,83
477,group E,bachelor's degree,standard,completed,76,62,66
478,group D,associate's degree,standard,none,80,68,72
479,group D,master's degree,standard,none,55,64,70
480,group E,associate's degree,standard,none,76,71,67
481,group B,high school,standard,completed,73,71,68
482,group D,associate's degree,free/reduced,none,52,59,56
483,group C,some college,free/reduced,none,68,68,61
484,group A,high school,standard,none,59,52,46
485,group B,associate's degree,standard,none,49,52,54
486,group C,high school,standard,none,70,74,71
487,group D,some college,free/reduced,none,61,47,56
488,group C,associate's degree,free/reduced,none,60,75,74
489,group B,some high school,standard,completed,64,53,57
490,group A,associate's degree,free/reduced,completed,79,82,82
491,group A,associate's degree,free/reduced,none,65,85,76
492,group C,associate's degree,standard,none,64,64,70
493,group C,some college,standard,none,83,83,90
494,group C,bachelor's degree,standard,none,81,88,90
495,group B,high school,standard,none,54,64,68
496,group D,high school,standard,completed,68,64,66
497,group C,some college,standard,none,54,48,52
498,group D,some college,free/reduced,completed,59,78,76
499,group B,some high school,standard,none,66,69,68
500,group E,some college,standard,none,76,71,72
