Roll,race/ethnicity,parental level of education,lunch,test preparation course,math,reading score,writing score
501,group D,master's degree,standard,none,74,79,82
502,group B,associate's degree,standard,completed,94,87,92
503,group C,some college,free/reduced,none,63,61,54
504,group E,associate's degree,standard,completed,95,89,92
505,group D,master's degree,free/reduced,none,40,59,54
506,group B,some high school,standard,none,82,82,80
507,group A,high school,standard,none,68,70,66
508,group B,bachelor's degree,free/reduced,none,55,59,54
509,group C,master's degree,standard,none,79,78,77
510,group C,bachelor's degree,standard,none,86,92,87
511,group D,some college,standard,none,76,71,73
512,group A,some high school,standard,none,64,50,43
513,group D,some high school,free/reduced,none,62,49,52
514,group B,some high school,standard,completed,54,61,62
515,group B,master's degree,free/reduced,completed,77,97,94
516,group C,some high school,standard,completed,76,87,85
517,group D,some college,standard,none,74,89,84
518,group E,some college,standard,completed,66,74,73
519,group D,some high school,standard,completed,66,78,78
520,group B,high school,free/reduced,completed,67,78,79
521,group D,some college,standard,none,71,49,52
522,group C,associate's degree,standard,none,91,86,84
523,group D,bachelor's degree,standard,none,69,58,57
524,group C,master's degree,free/reduced,none,54,59,50
525,group C,high school,standard,completed,53,52,49
526,group E,some college,standard,none,68,60,59
527,group C,some high school,free/reduced,completed,56,61,60
528,group C,high school,free/reduced,none,36,53,43
529,group D,bachelor's degree,free/reduced,none,29,41,47
530,group C,associate's degree,standard,none,62,74,70
531,group C,associate's degree,standard,completed,68,67,73
532,group C,some high school,standard,none,47,54,53
533,group E,associate's degree,standard,completed,62,61,58
534,group E,associate's degree,standard,completed,79,88,94
535,group B,high school,standard,completed,73,69,68
536,group C,bachelor's degree,free/reduced,completed,66,83,83
537,group C,associate's degree,standard,completed,51,60,58
538,group D,high school,standard,none,51,66,62
539,group E,bachelor's degree,standard,completed,85,66,71
540,group A,associate's degree,standard,completed,97,92,86
541,group C,high school,standard,completed,75,69,68
542,group D,associate's degree,free/reduced,completed,79,82,80
543,group C,associate's degree,standard,none,81,77,79
544,group D,associate's degree,standard,none,82,95,89
545,group D,master's degree,standard,none,64,63,66
546,group E,some high school,free/reduced,completed,78,83,80
547,group A,some high school,standard,completed,92,100,97
548,group C,high school,standard,completed,72,67,64
549,group C,high school,free/reduced,none,62,67,64
550,group C,master's degree,standard,none,79,72,69
551,group C,some high school,free/reduced,none,79,76,65
552,group B,bachelor's degree,free/reduced,completed,87,90,88
553,group B,associate's degree,standard,none,40,48,50
554,group D,some college,free/reduced,none,77,62,64
555,group E,associate's degree,standard,none,53,45,40
556,group C,some college,free/reduced,none,32,39,33
557,group C,associate's degree,standard,completed,55,72,79
558,group C,master's degree,free/reduced,none,61,67,66
559,group B,associate's degree,free/reduced,none,53,70,70
560,group D,some high school,standard,none,73,66,62
561,group D,some college,standard,completed,74,75,79
562,group C,some college,standard,none,63,74,74
563,group C,bachelor's degree,standard,completed,96,90,92
564,group D,some college,free/reduced,completed,63,80,80
565,group B,bachelor's degree,free/reduced,none,48,51,46
566,group B,associate's degree,standard,none,48,43,45
567,group E,bachelor's degree,free/reduced,completed,92,100,100
568,group D,master's degree,free/reduced,completed,61,71,78
569,group B,high school,free/reduced,none,63,48,47
570,group D,bachelor's degree,free/reduced,none,68,68,67
571,group B,some college,standard,completed,71,75,70
572,group A,bachelor's degree,standard,none,91,96,92
573,group C,some college,standard,none,53,62,56
574,group C,high school,free/reduced,completed,50,66,64
575,group E,high school,standard,none,74,81,71
576,group A,associate's degree,free/reduced,completed,40,55,53
577,group A,some college,standard,completed,61,51,52
578,group B,high school,standard,none,81,91,89
579,group B,some college,free/reduced,completed,48,56,58
580,group D,master's degree,standard,none,53,61,68
581,group D,some high school,standard,none,81,97,96
582,group E,some high school,standard,none,77,79,80
583,group D,bachelor's degree,free/reduced,none,63,73,78
584,group D,associate's degree,standard,completed,73,75,80
585,group D,some college,standard,none,69,77,77
586,group C,associate's degree,standard,none,65,76,76
587,group A,high school,standard,none,55,73,73
588,group C,bachelor's degree,free/reduced,none,44,63,62
589,group C,some college,standard,none,54,64,65
590,group A,some high school,standard,none,48,66,65
591,group C,some college,free/reduced,none,58,57,54
592,group A,some high school,standard,none,71,62,50
593,group E,bachelor's degree,standard,none,68,68,64
594,group E,high school,standard,none,74,76,73
595,group C,bachelor's degree,standard,completed,92,100,99
596,group C,bachelor's degree,standard,completed,56,79,72
597,group B,high school,free/reduced,none,30,24,15
598,group A,some high school,standard,none,53,54,48
599,group D,high school,standard,none,69,77,73
600,group D,some high school,standard,none,65,82,81
601,group D,master's degree,standard,none,54,60,63
602,group C,high school,standard,none,29,29,30
603,group E,some college,standard,none,76,78,80
604,group D,high school,free/reduced,none,60,57,51
605,group D,master's degree,free/reduced,completed,84,89,90
606,group C,some high school,standard,none,75,72,62
607,group C,associate's degree,standard,none,85,84,82
608,group C,master's degree,free/reduced,none,40,58,54
609,group E,some college,standard,none,61,64,62
610,group B,associate's degree,standard,none,58,63,65
611,group D,some college,free/reduced,completed,69,60,63
612,group C,some college,standard,none,58,59,66
613,group C,bachelor's degree,standard,completed,94,90,91
614,group C,associate's degree,standard,none,65,77,74
615,group A,associate's degree,standard,none,82,93,93
616,group C,high school,standard,none,60,68,72
617,group E,bachelor's degree,standard,none,37,45,38
618,group D,bachelor's degree,standard,none,88,78,83
619,group D,master's degree,standard,none,95,81,84
620,group C,associate's degree,free/reduced,completed,65,73,68
621,group C,high school,free/reduced,none,35,61,54
622,group B,bachelor's degree,free/reduced,none,62,63,56
623,group C,high school,free/reduced,completed,58,51,52
624,group A,some college,standard,completed,100,96,86
625,group E,bachelor's degree,free/reduced,none,61,58,62
626,group D,some college,standard,completed,100,97,99
627,group B,associate's degree,free/reduced,completed,69,70,63
628,group D,associate's degree,standard,none,61,48,46
629,group D,some college,free/reduced,none,49,57,46
630,group C,some high school,standard,completed,44,51,55
631,group D,some college,standard,none,67,64,70
632,group B,high school,standard,none,79,60,65
633,group B,bachelor's degree,standard,completed,66,74,81
634,group C,high school,standard,none,75,88,85
635,group D,some high school,standard,none,84,84,80
636,group A,high school,standard,none,71,74,64
637,group B,high school,free/reduced,completed,67,80,81
638,group D,some high school,standard,completed,80,92,88
639,group E,some college,standard,none,86,76,74
640,group D,associate's degree,standard,none,76,74,73
641,group D,high school,standard,none,41,52,51
642,group D,associate's degree,free/reduced,completed,74,88,90
643,group B,some high school,free/reduced,none,72,81,79
644,group E,high school,standard,completed,74,79,80
645,group B,high school,standard,none,70,65,60
646,group B,bachelor's degree,standard,completed,65,81,81
647,group D,associate's degree,standard,none,59,70,65
648,group E,high school,free/reduced,none,64,62,68
649,group B,high school,standard,none,50,53,55
650,group D,some college,standard,completed,69,79,81
651,group C,some high school,free/reduced,completed,51,56,53
652,group A,high school,standard,completed,68,80,76
653,group D,some college,standard,completed,85,86,98
654,group A,associate's degree,standard,completed,65,70,74
655,group B,some high school,standard,none,73,79,79
656,group B,some college,standard,none,62,67,67
657,group C,associate's degree,free/reduced,none,77,67,64
658,group D,some high school,standard,none,69,66,61
659,group D,associate's degree,free/reduced,none,43,60,58
660,group D,associate's degree,standard,none,90,87,85
661,group C,some college,free/reduced,none,74,77,73
662,group C,some high school,standard,none,73,66,63
663,group D,some college,free/reduced,none,55,71,69
664,group C,high school,standard,none,65,69,67
665,group D,associate's degree,standard,none,80,63,63
666,group C,some high school,free/reduced,completed,50,60,60
667,group C,some college,free/reduced,completed,63,73,71
668,group B,bachelor's degree,free/reduced,none,77,85,87
669,group C,some college,standard,none,73,74,61
670,group D,associate's degree,standard,completed,81,72,77
671,group C,high school,free/reduced,none,66,76,68
672,group D,associate's degree,free/reduced,none,52,57,50
673,group C,some college,standard,none,69,78,76
674,group C,associate's degree,standard,completed,65,84,84
675,group D,high school,standard,completed,69,77,78
676,group B,some college,standard,completed,50,64,66
677,group E,some college,standard,completed,73,78,76
678,group C,some high school,standard,completed,70,82,76
679,group D,associate's degree,free/reduced,none,81,75,78
680,group D,some college,free/reduced,none,63,61,60
681,group D,high school,standard,none,67,72,74
682,group B,high school,standard,none,60,68,60
683,group B,high school,standard,none,62,55,54
684,group C,some high school,free/reduced,completed,29,40,44
685,group B,some college,standard,completed,62,66,68
686,group E,master's degree,standard,completed,94,99,100
687,group E,some college,standard,completed,85,75,68
688,group D,associate's degree,free/reduced,none,77,78,73
689,group A,high school,free/reduced,none,53,58,44
690,group E,some college,free/reduced,none,93,90,83
691,group C,associate's degree,standard,none,49,53,53
692,group E,associate's degree,free/reduced,none,73,76,78
693,group C,bachelor's degree,free/reduced,completed,66,74,81
694,group D,associate's degree,standard,none,77,77,73
695,group C,some high school,standard,none,49,63,56
696,group D,some college,free/reduced,none,79,89,86
697,group C,associate's degree,standard,completed,75,82,90
698,group A,bachelor's degree,standard,none,59,72,70
699,group D,associate's degree,standard,completed,57,78,79
700,group C,high school,free/reduced,none,66,66,59
701,group E,bachelor's degree,standard,completed,79,81,82
702,group B,some high school,standard,none,57,67,72
703,group A,bachelor's degree,standard,completed,87,84,87
704,group D,some college,standard,none,63,64,67
705,group B,some high school,free/reduced,completed,59,63,64
706,group A,bachelor's degree,free/reduced,none,62,72,65
707,group D,high school,standard,none,46,34,36
708,group C,some college,standard,none,66,59,52
709,group D,high school,standard,none,89,87,79
710,group D,associate's degree,free/reduced,completed,42,61,58
711,group C,some college,standard,completed,93,84,90
712,group E,some high school,standard,completed,80,85,85
713,group D,some college,standard,none,98,100,99
714,group D,master's degree,standard,none,81,81,84
715,group B,some high school,standard,completed,60,70,74
716,group B,associate's degree,free/reduced,completed,76,94,87
717,group C,associate's degree,standard,completed,73,78,72
718,group C,associate's degree,standard,completed,96,96,99
719,group C,high school,standard,none,76,76,74
720,group E,associate's degree,free/reduced,completed,91,73,80
721,group C,some college,free/reduced,none,62,72,70
722,group D,some high school,free/reduced,completed,55,59,59
723,group B,some high school,free/reduced,completed,74,90,88
724,group C,high school,standard,none,50,48,42
725,group B,some college,standard,none,47,43,41
726,group E,some college,standard,completed,81,74,71
727,group E,associate's degree,standard,completed,65,75,77
728,group E,some high school,standard,completed,68,51,57
729,group D,high school,free/reduced,none,73,92,84
730,group C,some college,standard,none,53,39,37
731,group B,associate's degree,free/reduced,completed,68,77,80
732,group A,some high school,free/reduced,none,55,46,43
733,group C,some college,standard,completed,87,89,94
734,group D,some high school,standard,none,55,47,44
735,group E,some college,free/reduced,none,53,58,57
736,group C,master's degree,standard,none,67,57,59
737,group C,associate's degree,standard,none,92,79,84
738,group B,some college,free/reduced,completed,53,66,73
739,group D,associate's degree,standard,none,81,71,73
740,group C,high school,free/reduced,none,61,60,55
741,group D,bachelor's degree,standard,none,80,73,72
742,group A,associate's degree,free/reduced,none,37,57,56
743,group C,high school,standard,none,81,84,82
744,group C,associate's degree,standard,completed,59,73,72
745,group B,some college,free/reduced,none,55,55,47
746,group D,associate's degree,standard,none,72,79,74
747,group D,high school,standard,none,69,75,71
748,group C,some college,standard,none,69,64,68
749,group C,bachelor's degree,free/reduced,none,50,60,59
750,group B,some college,standard,completed,87,84,86
751,group D,some high school,standard,completed,71,69,68
752,group E,some college,standard,none,68,72,65
753,group C,master's degree,free/reduced,completed,79,77,75
754,group C,some high school,standard,completed,77,90,85
755,group C,associate's degree,free/reduced,none,58,55,53
756,group E,associate's degree,standard,none,84,95,92
757,group D,some college,standard,none,55,58,52
758,group E,bachelor's degree,free/reduced,completed,70,68,72
759,group D,some college,free/reduced,completed,52,59,65
760,group B,some college,standard,completed,69,77,77
761,group C,high school,free/reduced,none,53,72,64
762,group D,some high school,standard,none,48,58,54
763,group D,some high school,standard,completed,78,81,86
764,group B,high school,standard,none,62,62,63
765,group D,some college,standard,none,60,63,59
766,group B,high school,standard,none,74,72,72
767,group C,high school,standard,completed,58,75,77
768,group B,high school,standard,completed,76,62,60
769,group D,some high school,standard,none,68,71,75
770,group A,some college,free/reduced,none,58,60,57
771,group B,high school,standard,none,52,48,49
772,group D,bachelor's degree,standard,none,75,73,74
773,group B,some high school,free/reduced,completed,52,67,72
774,group C,bachelor's degree,free/reduced,none,62,78,79
775,group B,some college,standard,none,66,65,60
776,group B,some high school,free/reduced,none,49,58,55
777,group B,high school,standard,none,66,72,70
778,group C,some college,free/reduced,none,35,44,43
779,group A,some college,standard,completed,72,79,82
780,group E,associate's degree,standard,completed,94,85,82
781,group D,associate's degree,free/reduced,none,46,56,57
782,group B,master's degree,standard,none,77,90,84
783,group B,high school,free/reduced,completed,76,85,82
784,group C,associate's degree,standard,completed,52,59,62
785,group C,bachelor's degree,standard,completed,91,81,79
786,group B,some high school,standard,completed,32,51,44
787,group E,some high school,free/reduced,none,72,79,77
788,group B,some college,standard,none,19,38,32
789,group C,associate's degree,free/reduced,none,68,65,61
790,group C,master's degree,free/reduced,none,52,65,61
791,group B,high school,standard,none,48,62,60
792,group D,some college,free/reduced,none,60,66,70
793,group D,high school,free/reduced,none,66,74,69
794,group E,some high school,standard,completed,89,84,77
795,group B,high school,standard,none,42,52,51
796,group E,associate's degree,free/reduced,completed,57,68,73
797,group D,high school,standard,none,70,70,70
798,group E,associate's degree,free/reduced,none,70,84,81
799,group E,some college,standard,none,69,60,54
800,group C,associate's degree,standard,none,52,55,57
801,group C,some high school,standard,completed,67,73,68
802,group C,some high school,standard,completed,76,80,73
803,group E,associate's degree,standard,none,87,94,95
804,group B,some college,standard,none,82,85,87
805,group C,some college,standard,none,73,76,78
806,group A,some college,free/reduced,none,75,81,74
807,group D,some college,free/reduced,none,64,74,75
808,group E,high school,free/reduced,none,41,45,40
809,group C,high school,standard,none,90,75,69
810,group B,bachelor's degree,standard,none,59,54,51
811,group A,some high school,standard,none,51,31,36
812,group A,high school,free/reduced,none,45,47,49
813,group C,master's degree,standard,completed,54,64,67
814,group E,some high school,standard,completed,87,84,76
815,group C,high school,standard,none,72,80,83
816,group B,some high school,standard,completed,94,86,87
817,group A,bachelor's degree,standard,none,45,59,64
818,group D,bachelor's degree,free/reduced,completed,61,70,76
819,group B,high school,free/reduced,none,60,72,68
820,group C,some high school,standard,none,77,91,88
821,group A,some high school,standard,completed,85,90,92
822,group D,bachelor's degree,free/reduced,none,78,90,93
823,group E,some college,free/reduced,completed,49,52,51
824,group B,high school,free/reduced,none,71,87,82
825,group C,some high school,free/reduced,none,48,58,52
826,group C,high school,standard,none,62,67,58
827,group C,associate's degree,free/reduced,completed,56,68,70
828,group C,some high school,standard,none,65,69,76
829,group D,some high school,free/reduced,completed,69,86,81
830,group B,some high school,standard,none,68,54,53
831,group A,some college,free/reduced,none,61,60,57
832,group C,bachelor's degree,free/reduced,completed,74,86,89
833,group A,bachelor's degree,standard,none,64,60,58
834,group B,high school,standard,completed,77,82,89
835,group B,some college,standard,none,58,50,45
836,group C,high school,standard,completed,60,64,74
837,group E,high school,standard,none,73,64,57
838,group A,high school,standard,completed,75,82,79
839,group B,associate's degree,free/reduced,completed,58,57,53
840,group C,associate's degree,standard,none,66,77,73
841,group D,high school,free/reduced,none,39,52,46
842,group C,some high school,standard,none,64,58,51
843,group B,high school,free/reduced,completed,23,44,36
844,group B,some college,free/reduced,completed,74,77,76
845,group D,some high school,free/reduced,completed,40,65,64
846,group E,master's degree,standard,none,90,85,84
847,group C,master's degree,standard,completed,91,85,85
848,group D,high school,standard,none,64,54,50
849,group C,high school,standard,none,59,72,68
850,group D,associate's degree,standard,none,80,75,69
851,group C,master's degree,standard,none,71,67,67
852,group A,high school,standard,none,61,68,63
853,group E,some college,standard,none,87,85,93
854,group E,some high school,standard,none,82,67,61
855,group C,some high school,standard,none,62,64,55
856,group B,bachelor's degree,standard,none,97,97,96
857,group B,some college,free/reduced,none,75,68,65
858,group C,bachelor's degree,standard,none,65,79,81
859,group B,high school,standard,completed,52,49,46
860,group C,associate's degree,free/reduced,none,87,73,72
861,group C,associate's degree,standard,none,53,62,53
862,group E,master's degree,free/reduced,none,81,86,87
863,group D,bachelor's degree,free/reduced,completed,39,42,38
864,group C,some college,standard,completed,71,71,80
865,group C,associate's degree,standard,none,97,93,91
866,group D,some college,standard,completed,82,82,88
867,group C,high school,free/reduced,none,59,53,52
868,group B,associate's degree,standard,none,61,42,41
869,group E,associate's degree,free/reduced,completed,78,74,72
870,group C,associate's degree,free/reduced,none,49,51,51
871,group B,high school,standard,none,59,58,47
872,group C,some college,standard,completed,70,72,76
873,group B,associate's degree,standard,completed,82,84,78
874,group E,associate's degree,free/reduced,none,90,90,82
875,group C,bachelor's degree,free/reduced,none,43,62,61
876,group C,some college,free/reduced,none,80,64,66
877,group D,some college,standard,none,81,82,84
878,group C,some high school,standard,none,57,61,54
879,group D,some high school,standard,none,59,72,80
880,group D,associate's degree,standard,none,64,76,74
881,group C,bachelor's degree,standard,completed,63,64,66
882,group E,bachelor's degree,standard,completed,71,70,70
883,group B,high school,free/reduced,none,64,73,71
884,group D,bachelor's degree,free/reduced,none,55,46,44
885,group E,associate's degree,standard,none,51,51,54
886,group C,associate's degree,standard,completed,62,76,80
887,group E,associate's degree,standard,completed,93,100,95
888,group C,high school,free/reduced,none,54,72,59
889,group D,some college,free/reduced,none,69,65,74
890,group D,high school,free/reduced,none,44,51,48
891,group E,some college,standard,completed,86,85,91
892,group E,associate's degree,standard,none,85,92,85
893,group A,master's degree,free/reduced,none,50,67,73
894,group D,some high school,standard,completed,88,74,75
895,group E,associate's degree,standard,none,59,62,69
896,group E,some high school,free/reduced,none,32,34,38
897,group B,high school,free/reduced,none,36,29,27
898,group B,some high school,free/reduced,completed,63,78,79
899,group D,associate's degree,standard,completed,67,54,63
900,group D,some high school,standard,completed,65,78,82
901,group D,master's degree,standard,none,85,84,89
902,group C,master's degree,standard,none,73,78,74
903,group A,high school,free/reduced,completed,34,48,41
904,group D,bachelor's degree,free/reduced,completed,93,100,100
905,group D,some high school,free/reduced,none,67,84,84
906,group D,some college,standard,none,88,77,77
907,group B,high school,standard,none,57,48,51
908,group D,some college,standard,completed,79,84,91
909,group C,bachelor's degree,free/reduced,none,67,75,72
910,group E,bachelor's degree,standard,completed,70,64,70
911,group D,bachelor's degree,free/reduced,none,50,42,48
912,group A,some college,standard,none,69,84,82
913,group C,bachelor's degree,standard,completed,52,61,66
914,group C,bachelor's degree,free/reduced,completed,47,62,66
915,group B,associate's degree,free/reduced,none,46,61,55
916,group E,some college,standard,none,68,70,66
917,group E,bachelor's degree,standard,completed,100,100,100
918,group C,high school,standard,none,44,61,52
919,group C,associate's degree,standard,completed,57,77,80
920,group B,some college,standard,completed,91,96,91
921,group D,high school,free/reduced,none,69,70,67
922,group C,high school,free/reduced,none,35,53,46
923,group D,high school,standard,none,72,66,66
924,group B,associate's degree,free/reduced,none,54,65,65
925,group D,high school,free/reduced,none,74,70,69
926,group E,some high school,standard,completed,74,64,60
927,group E,associate's degree,free/reduced,none,64,56,52
928,group D,high school,free/reduced,completed,65,61,71
929,group E,associate's degree,free/reduced,completed,46,43,44
930,group C,some high school,free/reduced,none,48,56,51
931,group C,some college,free/reduced,completed,67,74,70
932,group D,some college,free/reduced,none,62,57,62
933,group D,associate's degree,free/reduced,completed,61,71,73
934,group C,bachelor's degree,free/reduced,completed,70,75,74
935,group C,associate's degree,standard,completed,98,87,90
936,group D,some college,free/reduced,none,70,63,58
937,group A,associate's degree,standard,none,67,57,53
938,group E,high school,free/reduced,none,57,58,57
939,group D,some college,standard,completed,85,81,85
940,group D,some high school,standard,completed,77,68,69
941,group C,master's degree,free/reduced,completed,72,66,72
942,group D,master's degree,standard,none,78,91,96
943,group C,high school,standard,none,81,66,64
944,group A,some high school,free/reduced,completed,61,62,61
945,group B,high school,standard,none,58,68,61
946,group C,associate's degree,standard,none,54,61,58
947,group B,high school,standard,none,82,82,80
948,group D,some college,free/reduced,none,49,58,60
949,group B,some high school,free/reduced,completed,49,50,52
950,group E,high school,free/reduced,completed,57,75,73
951,group E,high school,standard,none,94,73,71
952,group D,some college,standard,completed,75,77,83
953,group E,some high school,free/reduced,none,74,74,72
954,group C,high school,standard,completed,58,52,54
955,group C,some college,standard,none,62,69,69
956,group E,associate's degree,standard,none,72,57,62
957,group C,some college,standard,none,84,87,81
958,group D,master's degree,standard,none,92,100,100
959,group D,high school,standard,none,45,63,59
960,group C,high school,standard,none,75,81,71
961,group A,some college,standard,none,56,58,64
962,group D,some high school,free/reduced,none,48,54,53
963,group E,associate's degree,standard,none,100,100,100
964,group C,some high school,free/reduced,completed,65,76,75
965,group D,some college,standard,none,72,57,58
966,group D,some college,standard,none,62,70,72
967,group A,some high school,standard,completed,66,68,64
968,group C,some college,standard,none,63,63,60
969,group E,associate's degree,standard,none,68,76,67
970,group B,bachelor's degree,standard,none,75,84,80
971,group D,bachelor's degree,standard,none,89,100,100
972,group C,some high school,standard,completed,78,72,69
973,group A,high school,free/reduced,completed,53,50,60
974,group D,some college,free/reduced,none,49,65,61
975,group A,some college,standard,none,54,63,67
976,group C,some college,standard,completed,64,82,77
977,group B,some college,free/reduced,completed,60,62,60
978,group C,associate's degree,standard,none,62,65,58
979,group D,high school,standard,completed,55,41,48
980,group C,associate's degree,standard,none,91,95,94
981,group B,high school,free/reduced,none,8,24,23
982,group D,some high school,standard,none,81,78,78
983,group B,some high school,standard,completed,79,85,86
984,group A,some college,standard,completed,78,87,91
985,group C,some high school,standard,none,74,75,82
986,group A,high school,standard,none,57,51,54
987,group C,associate's degree,standard,none,40,59,51
988,group E,some high school,standard,completed,81,75,76
989,group A,some high school,free/reduced,none,44,45,45
990,group D,some college,free/reduced,completed,67,86,83
991,group E,high school,free/reduced,completed,86,81,75
992,group B,some high school,standard,completed,65,82,78
993,group D,associate's degree,free/reduced,none,55,76,76
994,group D,bachelor's degree,free/reduced,none,62,72,74
995,group A,high school,standard,none,63,63,62
996,group E,master's degree,standard,completed,88,99,95
997,group C,high school,free/reduced,none,62,55,55
998,group C,high school,free/reduced,completed,59,71,65
999,group D,some college,standard,completed,68,78,77
1000,group D,some college,free/reduced,none,77,86,86
